0,1
0,2
3,0
2,4
4,5
5,6
6,7
7,8
8,9
9,10
8,10
10,11
11,12
12,13
13,14
14,15
13,16
14,16
16,17
18,7
19,17
19,18
20,21
17,21
19,20
20,22
22,23
23,24
24,25
23,25
25,22
23,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
82,70
82,71
82,72
82,83
83,84
84,85
85,86
86,87
87,88
88,89
87,89
89,90
90,91
91,92
92,93
93,44
93,43
93,42
93,91
93,94
94,92
94,95
95,96
96,97
97,98
98,99
97,99
99,37
99,36
98,35
98,34
98,33
98,100
97,100
100,101
101,102
102,103
103,22
103,23
74,104
75,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,97
113,97
112,113
113,114
114,100
100,113
101,114
114,115
113,115
115,116
116,117
117,80
117,79
81,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,101
125,102
